tipo,seccion,titulo,subtitulo,url,thumbnail,fecha,medio,fecha_registro
articulo,/opinion/columnistas/,"¿Una derecha ecléctica?, por Javier Díaz-Albertini","“Muchos peruanos tienen más plata, pero no vacaciones, seguro de salud, pensiones o buena educación para sus hijos”.",https://elcomercio.pe/opinion/columnistas/una-derecha-eclectica-por-javier-diaz-albertini-columna-elecciones-2021-ideologias-inversion-privada-derecha-politica-noticia/,https://elcomercio.pe/resizer/kMUML_9CJPrOZuNF8jzphlHl-rU=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/DKD2TOYPT5EUXJUL6ILVB5MOCA.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/elecciones/,JEE de Lima Centro 1 resuelve no haber mérito para excluir a Keiko Fujimori de las Elecciones Generales 2021,Dicho órgano electoral señaló que candidata presidencial de Fuerza Popular no incorporó información falsa en su hoja de vida.,https://elcomercio.pe/politica/elecciones/keiko-fujimori-jee-de-lima-centro-1-resuelve-no-haber-merito-para-excluir-a-candidata-de-fuerza-popular-de-las-elecciones-generales-2021-nndc-noticia/,https://elcomercio.pe/resizer/NBaRsAvCrAdOwYXvgtbM8Fmt78o=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/HBPLQ3CP7VCSRBJRMR4ZZVHROU.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/respuestas/,Cinco noticias que debes leer hoy martes 16 de febrero,Compartimos contigo cinco de las noticias más relevantes de hoy.,https://elcomercio.pe/respuestas/cinco-noticias-que-debes-leer-hoy-martes-16-de-febrero-vacunas-coronavirus-vacunagate-elecciones-2021-chile-noticia/,https://elcomercio.pe/resizer/G5pEVTGI-V-DMJLb0Ha2n7EJ_JM=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/QNOX5BVILFGG3KVNGRLK7TXDIM.jpeg,16/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,El Comercio-Ipsos: crece el antivoto de todos los candidatos,"Asimismo, la popularidad del presidente Francisco Sagasti aumentó tras la brusca caída de enero. 46% no confía en que el JNE garantizará unas ele...",https://elcomercio.pe/elecciones-2021/elecciones-2021-el-comercio-ipsos-crece-el-antivoto-de-todos-los-candidatos-noticia/,https://elcomercio.pe/resizer/CpuO5xgolPxyVrG9t2RF3bFwP-I=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/MPKCY5KDUFCXFKPA6LGDEMETNI.jpg,16/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/economia/dia-1/,Campaña electoral en pandemia: ¿está funcionando la estrategia digital de los candidatos?,"En una campaña inédita y sin brillo, los candidatos apuestan a las plataformas digitales pero, ¿están realmente logrando conectar con la població...",https://elcomercio.pe/economia/dia-1/elecciones-2021-campana-electoral-en-pandemia-estan-logrando-conectar-en-su-estrategia-digital-coronavirus-en-peru-covid-19-facebook-instagram-tiktok-noticia/,https://elcomercio.pe/resizer/eSgWpTvZuNzNKoONAoCMFFMaw60=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/HCUE7Z6VZFAFLKQSWXPHNTYYTY.jpg,16/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Candidatos Joaquín Rey y Rafael Vásquez debatieron en El Comercio,El encuentro entre los candidatos al Congreso de la República de Victoria Nacional y Acción Popular fue transmitido en vivo a las 10:00 am. ,https://elcomercio.pe/elecciones-2021/elecciones-2021-joaquin-rey-victoria-nacional-y-rafael-vasquez-accion-popular-debaten-este-martes-en-el-comercio-noticia/,https://elcomercio.pe/resizer/tnBdO81uPdrAbpksDUTbPi9uB9c=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/WLNZGXF7XZG3FLBTQRL55TAYZM.png,16/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/respuestas/,ONPE: ¿cuándo publicará la lista definitiva de miembros de mesa para las elecciones 2021? ,La Oficina Nacional de Procesos Electorales (ONPE) anunció cuándo publicará la relación definitiva de miembros de mesa  ,https://elcomercio.pe/respuestas/onpe-cuando-publicara-la-lista-definitiva-de-miembros-de-mesa-para-las-elecciones-2021-local-de-votacion-link-elecciones-11-de-abril-revtli-noticia/,https://elcomercio.pe/resizer/uw0ijnErty8Y6ybiaxGipkheAWw=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/LKMQQ5R4EFASJKVRK7ZHAWT23I.jpg,16/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/tecnologia/ciencias/,EN VIVO | Candidatos presidenciales plantean sus propuestas sobre salud ,Seis candidatos a la presidencia exponen EN VIVO sus planes con respecto al tema de salud. Mira la reunión en vivo en El Comercio,https://elcomercio.pe/tecnologia/ciencias/en-vivo-elecciones-2021-candidatos-plantean-sus-propuestas-sobre-salud-noticia/,https://elcomercio.pe/resizer/2GuzX_LslGlZ960ShPVEy1wEUIo=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/Z4CYVS2JSJBXPDN2NSOR2XBKM4.jpeg,15/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/desde-la-redaccion/asi-se-hace/,PerúCheck: una alianza para enfrentar la desinformación ,El Consejo de la Prensa Peruana lanza una herramienta de fact checking enfocada en las elecciones de este año,https://elcomercio.pe/desde-la-redaccion/asi-se-hace/perucheck-una-alianza-para-enfrentar-la-desinformacion-elecciones-2021-fact-checking-noticia/,https://elcomercio.pe/resizer/mgRFmb3NiX2lrGSwPRbED-evaR8=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/6BN2RF6SSRFZNOVD6ZG42IZRWY.jpg,15/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/,"Verónika Mendoza: “Una no se puede poner de costado”, un perfil de Fernando Vivas","Continuamos con Verónika Mendoza la serie de perfiles #porquémelanzo, centrada en los móviles y antecedentes de las candidaturas con mayor intenc...",https://elcomercio.pe/politica/veronika-mendoza-una-no-se-puede-poner-de-costado-perfil-porquemelanzo-elecciones-2021-juntos-por-el-peru-fernando-vivas-aptz-noticia/,https://elcomercio.pe/resizer/HyJ-NedegMWMsHWW1bdRsR4UClg=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/ABIQCZSF3VCKHEVFCFSDLSBHFQ.jpg,15/02/2021,elcomercio,2021-02-18 00:06:26
